ingredients,safe_ingredients,harmful_ingredients,general_health_assessment,toxicity_score,allergen_risk,regulatory_status
"Organic Oat Flour, Almond Oil, Synthetic Fragrance","['Organic Oat Flour', 'Almond Oil']","['Synthetic Fragrance']","Natural base with an added artificial scent; moderate risk.","Moderate","High","Pending"
"Water, Glycolic Acid, Retinol","['Water', 'Retinol']","['Glycolic Acid']","Potent exfoliating formula; active acid may irritate sensitive skin.","High","Moderate","Pending"
"Shea Butter, Cocoa Butter, Retinol","['Shea Butter', 'Cocoa Butter']","['Retinol']","Moisturizing blend with a high-active ingredient; moderate caution advised.","Moderate","Moderate","Pending"
"Hyaluronic Acid, Peptides, Parabens","['Hyaluronic Acid', 'Peptides']","['Parabens']","Hydrating anti-aging formula with a standard preservative; moderate risk.","Moderate","Moderate","Pending"
"Water, Glycerin, Dimethicone","['Water', 'Glycerin', 'Dimethicone']","[]","Lightweight moisturizer; very low risk.","Low","Low","Approved"
"Aloe Vera, Chamomile Extract, Propylparaben","['Aloe Vera', 'Chamomile Extract']","['Propylparaben']","Calming blend with a synthetic preservative; moderate caution advised.","Moderate","Moderate","Pending"
"Vitamin C, Niacinamide, Synthetic Dye","['Vitamin C', 'Niacinamide']","['Synthetic Dye']","Brightening serum with an artificial color; low risk.","Low","Low","Approved"
"Green Tea Extract, Retinol, Parabens","['Green Tea Extract', 'Retinol']","['Parabens']","Antioxidant-rich serum with a common preservative; moderate risk.","Moderate","Moderate","Pending"
"Jojoba Oil, Vitamin E, Methylparaben","['Jojoba Oil', 'Vitamin E']","['Methylparaben']","Nourishing formula with a standard preservative; moderate risk.","Moderate","Moderate","Pending"
"Water, Peptides, Benzoyl Peroxide","['Water', 'Peptides']","['Benzoyl Peroxide']","Acne treatment formula; effective but may be harsh on skin.","High","Moderate","Pending"
"Cocoa Butter, Shea Butter, Artificial Flavor","['Cocoa Butter', 'Shea Butter']","['Artificial Flavor']","Rich emollient blend with a synthetic flavor additive; low risk.","Moderate","Low","Approved"
"Organic Oat Flour, Rice Bran Oil, Citric Acid","['Organic Oat Flour', 'Rice Bran Oil', 'Citric Acid']","[]","Natural formulation; very low risk.","Low","Low","Approved"
"Aloe Vera, Vitamin E, Chlorphenesin","['Aloe Vera', 'Vitamin E']","['Chlorphenesin']","Soothing formula with a mild preservative; moderate risk.","Moderate","Moderate","Pending"
"Water, Glycerin, Sodium Laureth Sulfate","['Water', 'Glycerin']","['Sodium Laureth Sulfate']","Common cleansing solution; may irritate sensitive skin.","Moderate","Moderate","Pending"
"Green Tea Extract, Caffeine, Propylparaben","['Green Tea Extract', 'Caffeine']","['Propylparaben']","Invigorating formula with a standard preservative; moderate risk.","Moderate","Moderate","Pending"
"Jojoba Oil, Argan Oil, Synthetic Dye","['Jojoba Oil', 'Argan Oil']","['Synthetic Dye']","Nourishing oil blend with artificial color; low risk.","Low","Moderate","Approved"
"Water, Hyaluronic Acid, Glycolic Acid","['Water', 'Hyaluronic Acid']","['Glycolic Acid']","Hydrating formula with an active acid; may cause irritation.","Moderate","Moderate","Pending"
"Vitamin C, Green Tea Extract, Methylparaben","['Vitamin C', 'Green Tea Extract']","['Methylparaben']","Brightening blend with a common preservative; moderate risk.","Moderate","Moderate","Pending"
"Aloe Vera, Witch Hazel, Synthetic Fragrance","['Aloe Vera', 'Witch Hazel']","['Synthetic Fragrance']","Soothing blend with an artificial scent; low risk.","Moderate","Moderate","Approved"
"Cocoa Butter, Shea Butter, Benzoyl Peroxide","['Cocoa Butter', 'Shea Butter']","['Benzoyl Peroxide']","Rich emollient with an acne-fighting agent; high risk.","High","Moderate","Pending"
"Water, Glycerin, PEG-100 Stearate","['Water', 'Glycerin']","['PEG-100 Stearate']","Mild cleanser with a synthetic surfactant; very low risk.","Low","Low","Approved"
"Hyaluronic Acid, Peptides, Propylparaben","['Hyaluronic Acid', 'Peptides']","['Propylparaben']","Anti-aging blend with a common preservative; moderate risk.","Moderate","Moderate","Pending"
"Green Tea Extract, Retinol, Formaldehyde","['Green Tea Extract', 'Retinol']","['Formaldehyde']","Potent blend with a banned chemical; high risk.","High","High","Banned"
"Jojoba Oil, Vitamin E, Sodium Laureth Sulfate","['Jojoba Oil', 'Vitamin E']","['Sodium Laureth Sulfate']","Nourishing oils combined with a cleansing agent; moderate risk.","Moderate","Moderate","Pending"
"Water, Citric Acid, Synthetic Dye","['Water', 'Citric Acid']","['Synthetic Dye']","Mild acidic formula with artificial color; very low risk.","Low","Low","Approved"
"Aloe Vera, Vitamin C, Parabens","['Aloe Vera', 'Vitamin C']","['Parabens']","Soothing and brightening formula with a preservative; moderate risk.","Moderate","Moderate","Pending"
"Shea Butter, Cocoa Butter, Benzalkonium Chloride","['Shea Butter', 'Cocoa Butter']","['Benzalkonium Chloride']","Moisturizing blend with an antimicrobial agent; moderate risk.","Moderate","Moderate","Pending"
"Water, Glycerin, Ethoxydiglycol","['Water', 'Glycerin']","['Ethoxydiglycol']","Standard formula with a synthetic solvent; moderate risk.","Moderate","Low","Pending"
"Organic Oat Milk, Coconut Water, Vitamin C","['Organic Oat Milk', 'Coconut Water', 'Vitamin C']","[]","Pure natural formulation; very low risk.","Low","Low","Approved"
"Aloe Vera, Panthenol, Sodium Benzoate","['Aloe Vera', 'Panthenol']","['Sodium Benzoate']","Soothing formula with a common preservative; low risk.","Moderate","Low","Pending"
"Green Tea Extract, Caffeine, Dimethicone","['Green Tea Extract', 'Caffeine', 'Dimethicone']","[]","Energizing formula with silicone; very low risk.","Low","Low","Approved"
"Jojoba Oil, Argan Oil, Chlorphenesin","['Jojoba Oil', 'Argan Oil']","['Chlorphenesin']","Nourishing blend with a mild preservative; moderate risk.","Moderate","Moderate","Pending"
"Water, Hyaluronic Acid, Propylparaben","['Water', 'Hyaluronic Acid']","['Propylparaben']","Hydrating solution with a standard preservative; moderate risk.","Moderate","Moderate","Pending"
"Vitamin E, Retinol, Synthetic Fragrance","['Vitamin E', 'Retinol']","['Synthetic Fragrance']","Anti-aging blend with an artificial scent; moderate risk.","Moderate","Moderate","Pending"
"Cocoa Butter, Shea Butter, Methylparaben","['Cocoa Butter', 'Shea Butter']","['Methylparaben']","Rich emollient blend with a common preservative; moderate risk.","Moderate","Moderate","Pending"
"Water, Glycerin, Sodium Coco-Sulfate","['Water', 'Glycerin']","['Sodium Coco-Sulfate']","Cleansing formula with a mild sulfate; very low risk.","Low","Moderate","Approved"
"Organic Oat Flour, Almond Oil, Parabens","['Organic Oat Flour', 'Almond Oil']","['Parabens']","Natural base with a common preservative; moderate risk.","Moderate","High","Pending"
"Aloe Vera, Chamomile Extract, Dimethicone","['Aloe Vera', 'Chamomile Extract', 'Dimethicone']","[]","Calming formula with silicone; very low risk.","Low","Low","Approved"
"Green Tea Extract, Vitamin C, Benzoyl Peroxide","['Green Tea Extract', 'Vitamin C']","['Benzoyl Peroxide']","Brightening blend with an acne-fighting agent; high risk.","High","Moderate","Pending"
"Jojoba Oil, Argan Oil, Ethylhexylglycerin","['Jojoba Oil', 'Argan Oil']","['Ethylhexylglycerin']","Nourishing oil blend with an alternative preservative; moderate risk.","Moderate","Low","Approved"
"Water, Aloe Vera, Formaldehyde","['Water', 'Aloe Vera']","['Formaldehyde']","Hydrating formula compromised by a banned chemical; high risk.","High","High","Banned"
"Cocoa Butter, Shea Butter, Parabens","['Cocoa Butter', 'Shea Butter']","['Parabens']","Moisturizing blend with a common preservative; moderate risk.","Moderate","Moderate","Pending"
"Water, Glycerin, Cyclopentasiloxane","['Water', 'Glycerin']","['Cyclopentasiloxane']","Lightweight hydration with a volatile silicone; very low risk.","Low","Low","Approved"
"Organic Oat Milk, Coconut Water, Lactic Acid","['Organic Oat Milk', 'Coconut Water', 'Lactic Acid']","[]","Natural formulation with a gentle acid; very low risk.","Low","Low","Approved"
"Aloe Vera, Vitamin E, Ethoxydiglycol","['Aloe Vera', 'Vitamin E']","['Ethoxydiglycol']","Soothing formula with a synthetic solvent; moderate risk.","Moderate","Moderate","Pending"
"Water, Glycerin, Cocamidopropyl Betaine","['Water', 'Glycerin']","['Cocamidopropyl Betaine']","Gentle cleanser with a surfactant; low risk for most skin types.","Low","Moderate","Approved"
"Green Tea Extract, Caffeine, Sodium Benzoate","['Green Tea Extract', 'Caffeine']","['Sodium Benzoate']","Energizing formula with a common preservative; moderate risk.","Moderate","Moderate","Pending"
"Jojoba Oil, Argan Oil, Triethanolamine","['Jojoba Oil', 'Argan Oil']","['Triethanolamine']","Nourishing oils with a chemical pH adjuster; moderate risk.","Moderate","Low","Approved"
"Hyaluronic Acid, Water, Methylparaben","['Hyaluronic Acid', 'Water']","['Methylparaben']","Hydrating solution with a standard preservative; moderate risk.","Moderate","Moderate","Pending"
"Vitamin C, Green Tea Extract, Propylparaben","['Vitamin C', 'Green Tea Extract']","['Propylparaben']","Brightening blend with a common preservative; moderate risk.","Moderate","Moderate","Pending"
"Aloe Vera, Witch Hazel, Benzalkonium Chloride","['Aloe Vera', 'Witch Hazel']","['Benzalkonium Chloride']","Soothing formula with an antimicrobial agent; moderate risk.","Moderate","Moderate","Approved"
"Cocoa Butter, Shea Butter, BHT","['Cocoa Butter', 'Shea Butter']","['BHT']","Rich emollient blend with a synthetic antioxidant; moderate risk.","Moderate","Moderate","Pending"
"Water, Glycerin, Cyclomethicone","['Water', 'Glycerin']","['Cyclomethicone']","Lightweight moisturizer with a volatile silicone; very low risk.","Low","Low","Approved"
"Hyaluronic Acid, Peptides, Methylparaben","['Hyaluronic Acid', 'Peptides']","['Methylparaben']","Anti-aging blend with a standard preservative; moderate risk.","Moderate","Moderate","Pending"
"Green Tea Extract, Retinol, Chlorphenesin","['Green Tea Extract', 'Retinol']","['Chlorphenesin']","Antioxidant serum with a mild preservative; moderate risk.","Moderate","Moderate","Pending"
"Jojoba Oil, Vitamin E, Cocamidopropyl Betaine","['Jojoba Oil', 'Vitamin E']","['Cocamidopropyl Betaine']","Nourishing formula with a gentle cleanser; moderate risk.","Moderate","Moderate","Pending"
"Water, Citric Acid, Artificial Flavor","['Water', 'Citric Acid']","['Artificial Flavor']","Mild formula with a synthetic flavoring; very low risk.","Low","Low","Approved"
"Aloe Vera, Vitamin C, Methylisothiazolinone","['Aloe Vera', 'Vitamin C']","['Methylisothiazolinone']","Brightening serum with a high-risk preservative; high risk.","High","High","Banned"
"Shea Butter, Cocoa Butter, Ethylhexylglycerin","['Shea Butter', 'Cocoa Butter']","['Ethylhexylglycerin']","Moisturizing blend with an alternative preservative; moderate risk.","Moderate","Low","Approved"
"Water, Glycerin, Caprylyl Glycol","['Water', 'Glycerin']","['Caprylyl Glycol']","Effective cleanser with a modern preservative; moderate risk.","Moderate","Low","Pending"
"Organic Oat Milk, Coconut Water, Vitamin E","['Organic Oat Milk', 'Coconut Water', 'Vitamin E']","[]","Natural formulation enriched with vitamins; very low risk.","Low","Low","Approved"
"Aloe Vera, Panthenol, Parabens","['Aloe Vera', 'Panthenol']","['Parabens']","Soothing formula with a common preservative; moderate risk.","Moderate","Moderate","Pending"
"Green Tea Extract, Caffeine, Cyclomethicone","['Green Tea Extract', 'Caffeine', 'Cyclomethicone']","[]","Energizing formula with silicone; very low risk.","Low","Low","Approved"
"Jojoba Oil, Argan Oil, Caprylyl Glycol","['Jojoba Oil', 'Argan Oil']","['Caprylyl Glycol']","Nourishing oil blend with a modern preservative; moderate risk.","Moderate","Low","Pending"
"Hyaluronic Acid, Water, Propylene Glycol","['Hyaluronic Acid', 'Water']","['Propylene Glycol']","Hydrating solution with a synthetic humectant; moderate risk.","Moderate","Moderate","Pending"
"Vitamin E, Retinol, Dimethicone","['Vitamin E', 'Retinol', 'Dimethicone']","[]","Potent anti-aging formula with silicone; very low risk.","Low","Low","Approved"
"Cocoa Butter, Shea Butter, Ethoxydiglycol","['Cocoa Butter', 'Shea Butter']","['Ethoxydiglycol']","Emollient blend with a synthetic solvent; moderate risk.","Moderate","Moderate","Pending"
"Water, Glycerin, Disodium Laureth Sulfosuccinate","['Water', 'Glycerin']","['Disodium Laureth Sulfosuccinate']","Mild cleanser with a gentle surfactant; very low risk.","Low","Low","Approved"
"Organic Oat Flour, Almond Oil, Phenoxyethanol","['Organic Oat Flour', 'Almond Oil']","['Phenoxyethanol']","Natural base with a synthetic preservative; moderate risk.","Moderate","High","Pending"
"Aloe Vera, Chamomile Extract, Triethanolamine","['Aloe Vera', 'Chamomile Extract']","['Triethanolamine']","Calming formula with a chemical pH adjuster; moderate risk.","Moderate","Moderate","Approved"
"Green Tea Extract, Vitamin C, Chlorphenesin","['Green Tea Extract', 'Vitamin C']","['Chlorphenesin']","Brightening serum with a mild preservative; moderate risk.","Moderate","Moderate","Pending"
"Jojoba Oil, Argan Oil, Methylisothiazolinone","['Jojoba Oil', 'Argan Oil']","['Methylisothiazolinone']","Nourishing oil blend with a high-risk antimicrobial; high risk.","High","Moderate","Banned"
"Water, Aloe Vera, Glutaraldehyde","['Water', 'Aloe Vera']","['Glutaraldehyde']","Hydrating formula with a strong crosslinking agent; high risk.","High","High","Banned"
"Cocoa Butter, Shea Butter, Propylparaben","['Cocoa Butter', 'Shea Butter']","['Propylparaben']","Moisturizing blend with a common preservative; moderate risk.","Moderate","Moderate","Pending"
"Water, Glycerin, Polyquaternium-10","['Water', 'Glycerin']","['Polyquaternium-10']","Lightweight formula with a conditioning agent; very low risk.","Low","Low","Approved"
"Organic Oat Milk, Coconut Water, Ascorbic Acid","['Organic Oat Milk', 'Coconut Water', 'Ascorbic Acid']","[]","Natural formulation enriched with vitamin C; very low risk.","Low","Low","Approved"
"Aloe Vera, Vitamin E, Caprylic/Capric Triglyceride","['Aloe Vera', 'Vitamin E']","['Caprylic/Capric Triglyceride']","Soothing formula with an emollient; very low risk.","Low","Low","Approved"
"Water, Glycerin, Lauryl Glucoside","['Water', 'Glycerin']","['Lauryl Glucoside']","Gentle cleanser with a natural surfactant; very low risk.","Low","Low","Approved"
"Green Tea Extract, Caffeine, Piroctone Olamine","['Green Tea Extract', 'Caffeine']","['Piroctone Olamine']","Energizing formula with an antifungal agent; moderate risk.","Moderate","Moderate","Pending"
"Jojoba Oil, Argan Oil, Disodium EDTA","['Jojoba Oil', 'Argan Oil']","['Disodium EDTA']","Nourishing oils with a chelating agent; very low risk.","Low","Low","Approved"
"Hyaluronic Acid, Water, Butylene Glycol","['Hyaluronic Acid', 'Water']","['Butylene Glycol']","Hydrating formula with a synthetic humectant; moderate risk.","Moderate","Moderate","Pending"
"Vitamin C, Green Tea Extract, Isoamyl Paraben","['Vitamin C', 'Green Tea Extract']","['Isoamyl Paraben']","Brightening serum with a less common preservative; moderate risk.","Moderate","Moderate","Pending"
"Aloe Vera, Witch Hazel, Phenoxyethanol","['Aloe Vera', 'Witch Hazel']","['Phenoxyethanol']","Soothing formula with a synthetic preservative; moderate risk.","Moderate","Moderate","Pending"
"Cocoa Butter, Shea Butter, Ammonium Laureth Sulfate","['Cocoa Butter', 'Shea Butter']","['Ammonium Laureth Sulfate']","Emollient blend with a cleansing agent; high risk.","High","Moderate","Pending"
"Water, Glycerin, Octyltriethoxysilane","['Water', 'Glycerin']","['Octyltriethoxysilane']","Lightweight hydration with a silane compound; very low risk.","Low","Low","Approved"
"Hyaluronic Acid, Peptides, Disodium EDTA","['Hyaluronic Acid', 'Peptides']","['Disodium EDTA']","Anti-aging blend with a chelating agent; moderate risk.","Moderate","Moderate","Pending"
"Green Tea Extract, Retinol, Benzophenone-4","['Green Tea Extract', 'Retinol']","['Benzophenone-4']","Antioxidant serum with a UV filter that is banned; high risk.","High","High","Banned"
"Jojoba Oil, Vitamin E, Steareth-20","['Jojoba Oil', 'Vitamin E']","['Steareth-20']","Nourishing formula with an emulsifier; moderate risk.","Moderate","Moderate","Pending"
"Water, Citric Acid, Sorbic Acid","['Water', 'Citric Acid']","['Sorbic Acid']","Mild formula with a natural preservative; very low risk.","Low","Low","Approved"
"Aloe Vera, Vitamin C, Hexylene Glycol","['Aloe Vera', 'Vitamin C']","['Hexylene Glycol']","Brightening formula with a synthetic solvent; moderate risk.","Moderate","Moderate","Pending"
